"palavra","tipo"
"Vacaria","SU"
"Valdemar","SU"
"Varsóvia","SU"
"Vaticano","SU"
"Venceslau","SU"
"Veneza","SU"
"Venezuela","SU"
"Venâncio","SU"
"Vermelho","SU"
"Verônica","SU"
"Viana","SU"
"Vicente","SU"
"Vieira","SU"
"Viena","SU"
"Vietnã","SU"
"Virgília","SU"
"Virgílio","SU"
"Vênus","SU"
"Walter","SU"
"Waterloo","SU"
"Xavier","SU"
"York","SU"
"Zâmbia","SU"
"Zéfiro","SU"
"a fim de que","AV"
"aba","SU"
"abacate","SU"
"abacateiro","SU"
"abacaxi","SU"
"abaciais","AJ"
"abacial","AJ"
"abade","SU"
"abadessa","SU"
"abadessas","SU"
"abadia","SU"
"abafada","AJ"
"abafadas","AJ"
"abafadiça","AJ"
"abafadiças","AJ"
"abafadiço","AJ"
"abafadiços","AJ"
"abafado","AJ"
"abafados","AJ"
"abafamento","SU"
"abaixada","AJ"
"abaixadas","AJ"
"abaixado","AJ"
"abaixados","AJ"
"abaixo","AV"
"abalada","AJ"
"abaladas","AJ"
"abalado","AJ"
"abalados","AJ"
"abalo","SU"
"abalroada","SU"
"abalroamento","SU"
"abandonada","AJ"
"abandonadas","AJ"
"abandonado","AJ"
"abandonados","AJ"
"abandono","SU"
"abarracada","AJ"
"abarracadas","AJ"
"abarracado","AJ"
"abarracados","AJ"
"abarracamento","SU"
"abarrotamento","SU"
"abastada","AJ"
"abastadas","AJ"
"abastado","AJ"
"abastados","AJ"
"abastança","SU"
"abastecida","AJ"
"abastecidas","AJ"
"abastecido","AJ"
"abastecidos","AJ"
"abastecimento","SU"
"abatedouro","SU"
"abatida","AJ"
"abatidas","AJ"
"abatido","AJ"
"abatidos","AJ"
"abatimento","SU"
"abdicação","SU"
"abdicações","SU"
"abdome","SU"
"abdominais","AJ"
"abdominal","AJ"
"abdômen","SU"
"abecedário","SU"
"abeirada","AJ"
"abeiradas","AJ"
"abeirado","AJ"
"abeirados","AJ"
"abelha","SU"
"abelheira","AJ"
"abelheiras","AJ"
"abelheiro","AJ"
"abelheiros","AJ"
"abelhinha","SU"
"abelhuda","AJ"
"abelhudas","AJ"
"abelhudo","AJ"
"abelhudos","AJ"
"abeliana","AJ"
"abelianas","AJ"
"abeliano","AJ"
"abelianos","AJ"
"abençoada","AJ"
"abençoadas","AJ"
"abençoado","AJ"
"abençoados","AJ"
"aberração","SU"
"aberrações","SU"
"aberta","AJ"
"abertamente","AV"
"abertas","AJ"
"aberto","AJ"
"abertos","AJ"
"abertura","SU"
"abeto","SU"
"abismais","AJ"
"abismal","AJ"
"abismo","SU"
"abjeta","AJ"
"abjetas","AJ"
"abjeto","AJ"
"abjetos","AJ"
"abjudicação","SU"
"abjudicações","SU"
"abjuramento","SU"
"abjuração","SU"
"abjurações","SU"
"ablativo","SU"
"ablução","SU"
"abluções","SU"
"abnegada","AJ"
"abnegadas","AJ"
"abnegado","AJ"
"abnegados","AJ"
"abnegação","SU"
"abnegações","SU"
"abobada","AJ"
"abobadada","AJ"
"abobadadas","AJ"
"abobadado","AJ"
"abobadados","AJ"
"abobadas","AJ"
"abobado","AJ"
"abobados","AJ"
"abobalhada","AJ"
"abobalhadas","AJ"
"abobalhado","AJ"
"abobalhados","AJ"
"aboboreira","SU"
"abobrinha","SU"
"aboletamento","SU"
"abolicionismo","SU"
"abolicionista","AJ"
"abolição","SU"
"abolições","SU"
"abominação","SU"
"abominações","SU"
"abomináveis","AJ"
"abominável","AJ"
"abonado","SU"
"abono","SU"
"abordada","AJ"
"abordadas","AJ"
"abordado","AJ"
"abordados","AJ"
"abordagem","SU"
"abordagens","SU"
"aborrecida","AJ"
"aborrecidas","AJ"
"aborrecido","AJ"
"aborrecidos","AJ"
"aborrecimento","SU"
"aborta","AJ"
"abortada","AJ"
"abortadas","AJ"
"abortado","AJ"
"abortados","AJ"
"abortas","AJ"
"abortiva","AJ"
"abortivas","AJ"
"abortivo","AJ"
"abortivos","AJ"
"aborto","AJSU"
"abortos","AJ"
"abortícia","AJ"
"abortícias","AJ"
"abortício","AJ"
"abortícios","AJ"
"aborígine","AJ"
"abotoada","AJ"
"abotoadas","AJ"
"abotoadeira","SU"
"abotoado","AJ"
"abotoados","AJ"
"abotoadura","SU"
"abracadabra","AV"
"abrandada","AJ"
"abrandadas","AJ"
"abrandado","AJ"
"abrandados","AJ"
"abrandamento","SU"
"abrangente","SU"
"abrangida","AJ"
"abrangidas","AJ"
"abrangido","AJ"
"abrangidos","AJ"
