"palavra","tipo"
"abateria","VB"
"abateriam","VB"
"abaterias","VB"
"abatermos","VB"
"abaterá","VB"
"abaterás","VB"
"abaterão","VB"
"abateríamos","VB"
"abateríeis","VB"
"abates","VB"
"abatesse","VB"
"abatessem","VB"
"abatesses","VB"
"abateste","VB"
"abatestes","VB"
"abateu","VB"
"abati","VB"
"abatia","VB"
"abatiam","VB"
"abatias","VB"
"abatido","VP"
"abato","VB"
"abatêramos","VB"
"abatêreis","VB"
"abatêsseis","VB"
"abatêssemos","VB"
"abatíamos","VB"
"abatíeis","VB"
"abdica","VB"
"abdicado","VP"
"abdicai","VB"
"abdicais","VB"
"abdicam","VB"
"abdicamos","VB"
"abdicando","VB"
"abdicar","VB"
"abdicara","VB"
"abdicaram","VB"
"abdicaras","VB"
"abdicardes","VB"
"abdicarei","VB"
"abdicareis","VB"
"abdicarem","VB"
"abdicaremos","VB"
"abdicares","VB"
"abdicaria","VB"
"abdicariam","VB"
"abdicarias","VB"
"abdicarmos","VB"
"abdicará","VB"
"abdicarás","VB"
"abdicarão","VB"
"abdicaríamos","VB"
"abdicaríeis","VB"
"abdicas","VB"
"abdicasse","VB"
"abdicassem","VB"
"abdicasses","VB"
"abdicaste","VB"
"abdicastes","VB"
"abdicava","VB"
"abdicavam","VB"
"abdicavas","VB"
"abdico","VB"
"abdicou","VB"
"abdicáramos","VB"
"abdicáreis","VB"
"abdicásseis","VB"
"abdicássemos","VB"
"abdicávamos","VB"
"abdicáveis","VB"
"abdique","VB"
"abdiquei","VB"
"abdiqueis","VB"
"abdiquem","VB"
"abdiquemos","VB"
"abdiques","VB"
"abeira","VB"
"abeirado","VP"
"abeirai","VB"
"abeirais","VB"
"abeiram","VB"
"abeiramos","VB"
"abeirando","VB"
"abeirar","VB"
"abeirara","VB"
"abeiraram","VB"
"abeiraras","VB"
"abeirardes","VB"
"abeirarei","VB"
"abeirareis","VB"
"abeirarem","VB"
"abeiraremos","VB"
"abeirares","VB"
"abeiraria","VB"
"abeirariam","VB"
"abeirarias","VB"
"abeirarmos","VB"
"abeirará","VB"
"abeirarás","VB"
"abeirarão","VB"
"abeiraríamos","VB"
"abeiraríeis","VB"
"abeiras","VB"
"abeirasse","VB"
"abeirassem","VB"
"abeirasses","VB"
"abeiraste","VB"
"abeirastes","VB"
"abeirava","VB"
"abeiravam","VB"
"abeiravas","VB"
"abeire","VB"
"abeirei","VB"
"abeireis","VB"
"abeirem","VB"
"abeiremos","VB"
"abeires","VB"
"abeiro","VB"
"abeirou","VB"
"abeiráramos","VB"
"abeiráreis","VB"
"abeirásseis","VB"
"abeirássemos","VB"
"abeirávamos","VB"
"abeiráveis","VB"
"abençoa","VB"
"abençoado","VP"
"abençoai","VB"
"abençoais","VB"
"abençoam","VB"
"abençoamos","VB"
"abençoando","VB"
"abençoar","VB"
"abençoara","VB"
"abençoaram","VB"
"abençoaras","VB"
"abençoardes","VB"
"abençoarei","VB"
"abençoareis","VB"
"abençoarem","VB"
"abençoaremos","VB"
"abençoares","VB"
"abençoaria","VB"
"abençoariam","VB"
"abençoarias","VB"
"abençoarmos","VB"
"abençoará","VB"
"abençoarás","VB"
"abençoarão","VB"
"abençoaríamos","VB"
"abençoaríeis","VB"
"abençoas","VB"
"abençoasse","VB"
"abençoassem","VB"
"abençoasses","VB"
"abençoaste","VB"
"abençoastes","VB"
"abençoava","VB"
"abençoavam","VB"
"abençoavas","VB"
"abençoe","VB"
"abençoei","VB"
"abençoeis","VB"
"abençoem","VB"
"abençoemos","VB"
"abençoes","VB"
"abençoou","VB"
"abençoáramos","VB"
"abençoáreis","VB"
"abençoásseis","VB"
"abençoássemos","VB"
"abençoávamos","VB"
"abençoáveis","VB"
"abençôo","VB"
"aberto","VP"
"abestalha","VB"
"abestalhado","VP"
"abestalhai","VB"
"abestalhais","VB"
"abestalham","VB"
"abestalhamos","VB"
"abestalhando","VB"
"abestalhar","VB"
"abestalhara","VB"
"abestalharam","VB"
"abestalharas","VB"
"abestalhardes","VB"
"abestalharei","VB"
"abestalhareis","VB"
"abestalharem","VB"
"abestalharemo","VB"
"abestalhares","VB"
"abestalharia","VB"
"abestalhariam","VB"
"abestalharias","VB"
"abestalharmos","VB"
"abestalhará","VB"
"abestalharás","VB"
"abestalharão","VB"
"abestalharíam","VB"
"abestalharíei","VB"
"abestalhas","VB"
"abestalhasse","VB"
"abestalhassem","VB"
"abestalhasses","VB"
"abestalhaste","VB"
"abestalhastes","VB"
"abestalhava","VB"
"abestalhavam","VB"
"abestalhavas","VB"
"abestalhe","VB"
"abestalhei","VB"
"abestalheis","VB"
"abestalhem","VB"
"abestalhemos","VB"
"abestalhes","VB"
"abestalho","VB"
"abestalhou","VB"
"abestalháramo","VB"
"abestalháreis","VB"
"abestalhássei","VB"
"abestalhássem","VB"
"abestalhávamo","VB"
"abestalháveis","VB"
"abiscoita","VB"
"abiscoitado","VP"
"abiscoitai","VB"
"abiscoitais","VB"
"abiscoitam","VB"
"abiscoitamos","VB"
"abiscoitando","VB"
"abiscoitar","VB"
"abiscoitara","VB"
"abiscoitaram","VB"
"abiscoitaras","VB"
"abiscoitardes","VB"
"abiscoitarei","VB"
"abiscoitareis","VB"
"abiscoitarem","VB"
"abiscoitaremo","VB"
"abiscoitares","VB"
